date,strategy,drawdown
2018-03-16,baseline_no_overlay,0.0
2018-03-19,baseline_no_overlay,0.0
2018-03-20,baseline_no_overlay,0.0
2018-03-21,baseline_no_overlay,0.0
2018-03-22,baseline_no_overlay,0.0
2018-03-23,baseline_no_overlay,-0.00710051493758479
2018-03-26,baseline_no_overlay,-0.0008258615697253058
2018-03-27,baseline_no_overlay,-0.0006498874589806469
2018-03-28,baseline_no_overlay,-0.0004655304174197017
2018-03-29,baseline_no_overlay,-0.002325510290240196
2018-03-30,baseline_no_overlay,0.0
2018-04-02,baseline_no_overlay,0.0
2018-04-03,baseline_no_overlay,-0.0030465740112793904
2018-04-04,baseline_no_overlay,-0.0020159940404729237
2018-04-05,baseline_no_overlay,-0.0014779760949320542
2018-04-06,baseline_no_overlay,0.0
2018-04-09,baseline_no_overlay,0.0
2018-04-10,baseline_no_overlay,-0.0022060000522013956
2018-04-11,baseline_no_overlay,-0.012788250738713591
2018-04-12,baseline_no_overlay,-0.01089597009623311
2018-04-13,baseline_no_overlay,-0.016541559469557265
2018-04-16,baseline_no_overlay,-0.019396569742900938
2018-04-17,baseline_no_overlay,-0.017861631660997412
2018-04-18,baseline_no_overlay,-0.022784144207106505
2018-04-19,baseline_no_overlay,-0.03692258536382931
2018-04-20,baseline_no_overlay,-0.028450634315229206
2018-04-23,baseline_no_overlay,-0.04443510792187266
2018-04-24,baseline_no_overlay,-0.04303140792441973
2018-04-26,baseline_no_overlay,-0.05642513836177376
2018-04-27,baseline_no_overlay,-0.0544124791367846
2018-05-02,baseline_no_overlay,-0.062438407988109734
2018-05-03,baseline_no_overlay,-0.06343957210442952
2018-05-04,baseline_no_overlay,-0.06331460735321925
2018-05-07,baseline_no_overlay,-0.04986248032898055
2018-05-08,baseline_no_overlay,-0.05063796645551155
2018-05-09,baseline_no_overlay,-0.05199441587349962
2018-05-10,baseline_no_overlay,-0.06266449789745909
2018-05-11,baseline_no_overlay,-0.056681455570040895
2018-05-14,baseline_no_overlay,-0.04804366269861493
2018-05-15,baseline_no_overlay,-0.04548906579009804
2018-05-16,baseline_no_overlay,-0.05262223591753412
2018-05-17,baseline_no_overlay,-0.06114407204766048
2018-05-18,baseline_no_overlay,-0.05766054938931797
2018-05-21,baseline_no_overlay,-0.06733654774637454
2018-05-22,baseline_no_overlay,-0.07784314382564705
2018-05-23,baseline_no_overlay,-0.07672408581369616
2018-05-24,baseline_no_overlay,-0.07788446650750858
2018-05-25,baseline_no_overlay,-0.08629846560184873
2018-05-28,baseline_no_overlay,-0.09828410828353684
2018-05-29,baseline_no_overlay,-0.09027599298357081
2018-05-30,baseline_no_overlay,-0.09179483242263797
2018-05-31,baseline_no_overlay,-0.08258631426036989
2018-06-01,baseline_no_overlay,-0.07356323709341595
2018-06-04,baseline_no_overlay,-0.06458583527730244
2018-06-05,baseline_no_overlay,-0.06074708366858572
2018-06-06,baseline_no_overlay,-0.055899917859595694
2018-06-07,baseline_no_overlay,-0.054986999265213
2018-06-08,baseline_no_overlay,-0.05405643067903698
2018-06-11,baseline_no_overlay,-0.0540534373800613
2018-06-12,baseline_no_overlay,-0.06136604856953154
2018-06-13,baseline_no_overlay,-0.05763522729138171
2018-06-14,baseline_no_overlay,-0.06355177333229933
2018-06-15,baseline_no_overlay,-0.06328327321324234
2018-06-18,baseline_no_overlay,-0.0744640024356289
2018-06-19,baseline_no_overlay,-0.08343715904827442
2018-06-20,baseline_no_overlay,-0.0765022975619295
2018-06-21,baseline_no_overlay,-0.08100953889935736
2018-06-22,baseline_no_overlay,-0.07594807964064154
2018-06-25,baseline_no_overlay,-0.07310088586415286
2018-06-26,baseline_no_overlay,-0.07605583440480956
2018-06-27,baseline_no_overlay,-0.08174774696832376
2018-06-28,baseline_no_overlay,-0.08623860543130646
2018-06-29,baseline_no_overlay,-0.08490142182957683
2018-07-02,baseline_no_overlay,-0.09029658650529782
2018-07-03,baseline_no_overlay,-0.10633325029782592
2018-07-04,baseline_no_overlay,-0.1027384021524056
2018-07-05,baseline_no_overlay,-0.1094898731438888
2018-07-06,baseline_no_overlay,-0.10241411000537182
2018-07-09,baseline_no_overlay,-0.10345266177207668
2018-07-10,baseline_no_overlay,-0.10509582095021242
2018-07-11,baseline_no_overlay,-0.11246984346449806
2018-07-12,baseline_no_overlay,-0.11031636780435417
2018-07-13,baseline_no_overlay,-0.1056653613480556
2018-07-16,baseline_no_overlay,-0.10508161017736217
2018-07-17,baseline_no_overlay,-0.10071198225638711
2018-07-18,baseline_no_overlay,-0.09131984012524563
2018-07-19,baseline_no_overlay,-0.09065573130919491
2018-07-20,baseline_no_overlay,-0.09514856535848781
2018-07-23,baseline_no_overlay,-0.09380268553358284
2018-07-24,baseline_no_overlay,-0.09491689491698585
2018-07-25,baseline_no_overlay,-0.09755219845975827
2018-07-26,baseline_no_overlay,-0.09656225659685125
2018-07-27,baseline_no_overlay,-0.09443099283587497
2018-07-30,baseline_no_overlay,-0.08885506414965094
2018-07-31,baseline_no_overlay,-0.086045391693926
2018-08-01,baseline_no_overlay,-0.08757263460275866
2018-08-02,baseline_no_overlay,-0.08726854223494951
2018-08-03,baseline_no_overlay,-0.08483131584932713
2018-08-06,baseline_no_overlay,-0.08457808715232396
2018-08-07,baseline_no_overlay,-0.08596381259660113
2018-08-08,baseline_no_overlay,-0.08236860822739978
2018-08-09,baseline_no_overlay,-0.08352516015178368
2018-08-10,baseline_no_overlay,-0.08170709428606315
2018-08-13,baseline_no_overlay,-0.07788455950699247
2018-08-14,baseline_no_overlay,-0.07780634155396648
2018-08-15,baseline_no_overlay,-0.08472989561830746
2018-08-16,baseline_no_overlay,-0.08367187127643361
2018-08-17,baseline_no_overlay,-0.08187679703652706
2018-08-20,baseline_no_overlay,-0.08161028652977131
2018-08-21,baseline_no_overlay,-0.07796983623018905
2018-08-22,baseline_no_overlay,-0.07680600377798719
2018-08-23,baseline_no_overlay,-0.07478240997811159
2018-08-24,baseline_no_overlay,-0.07491092381002618
2018-08-27,baseline_no_overlay,-0.07302102549992928
2018-08-28,baseline_no_overlay,-0.07173736180294055
2018-08-29,baseline_no_overlay,-0.07465507800403526
2018-08-30,baseline_no_overlay,-0.0710371992258716
2018-08-31,baseline_no_overlay,-0.07457098209562829
2018-09-04,baseline_no_overlay,-0.07966389796163664
2018-09-05,baseline_no_overlay,-0.08240458543147244
2018-09-06,baseline_no_overlay,-0.08612810225843726
2018-09-07,baseline_no_overlay,-0.08237649665783253
2018-09-10,baseline_no_overlay,-0.08185813992268598
2018-09-11,baseline_no_overlay,-0.07628048931117615
2018-09-12,baseline_no_overlay,-0.07552040155629336
2018-09-13,baseline_no_overlay,-0.07515612738993571
2018-09-14,baseline_no_overlay,-0.07379075874610308
2018-09-17,baseline_no_overlay,-0.0752905933789293
2018-09-18,baseline_no_overlay,-0.07304658775811934
2018-09-19,baseline_no_overlay,-0.07222491473370529
2018-09-20,baseline_no_overlay,-0.06860736412408674
2018-09-21,baseline_no_overlay,-0.06937641148362106
2018-09-24,baseline_no_overlay,-0.06622676002103556
2018-09-25,baseline_no_overlay,-0.06645687142338363
2018-09-26,baseline_no_overlay,-0.06690032722619665
2018-09-27,baseline_no_overlay,-0.06479516854357992
2018-09-28,baseline_no_overlay,-0.06414542747882868
2018-10-01,baseline_no_overlay,-0.06578639202465686
2018-10-02,baseline_no_overlay,-0.0636124380349612
2018-10-03,baseline_no_overlay,-0.06301448564746592
2018-10-04,baseline_no_overlay,-0.06178491002726261
2018-10-05,baseline_no_overlay,-0.06790888768998893
2018-10-08,baseline_no_overlay,-0.07231434761893119
2018-10-09,baseline_no_overlay,-0.07230619566310537
2018-10-10,baseline_no_overlay,-0.07310733894429555
2018-10-11,baseline_no_overlay,-0.09005160583044214
2018-10-12,baseline_no_overlay,-0.08074232944695603
2018-10-15,baseline_no_overlay,-0.08850280449639425
2018-10-16,baseline_no_overlay,-0.08405705159636367
2018-10-17,baseline_no_overlay,-0.0807306652817632
2018-10-18,baseline_no_overlay,-0.08407569699286255
2018-10-19,baseline_no_overlay,-0.08611329331820672
2018-10-22,baseline_no_overlay,-0.08802911694886595
2018-10-23,baseline_no_overlay,-0.0933708714562117
2018-10-24,baseline_no_overlay,-0.10011058695419073
2018-10-25,baseline_no_overlay,-0.10487265734250117
2018-10-26,baseline_no_overlay,-0.10844644896049216
2018-10-29,baseline_no_overlay,-0.11293490150171204
2018-10-30,baseline_no_overlay,-0.11298993125886558
2018-10-31,baseline_no_overlay,-0.10289376799463723
2018-11-01,baseline_no_overlay,-0.10580543219270844
2018-11-02,baseline_no_overlay,-0.0987851468372003
2018-11-05,baseline_no_overlay,-0.09851092317060683
2018-11-06,baseline_no_overlay,-0.10005698959482512
2018-11-07,baseline_no_overlay,-0.10005121844527598
2018-11-08,baseline_no_overlay,-0.09845344410972556
2018-11-09,baseline_no_overlay,-0.10310763575134696
2018-11-12,baseline_no_overlay,-0.10178576646502702
2018-11-13,baseline_no_overlay,-0.10661119785781059
2018-11-14,baseline_no_overlay,-0.10819152312502878
2018-11-15,baseline_no_overlay,-0.10948679494514446
2018-11-16,baseline_no_overlay,-0.1091394870836887
2018-11-19,baseline_no_overlay,-0.10304548145616932
2018-11-20,baseline_no_overlay,-0.10195713693347563
2018-11-21,baseline_no_overlay,-0.10060184945729844
2018-11-22,baseline_no_overlay,-0.09988447261791034
2018-11-23,baseline_no_overlay,-0.10233413088053867
2018-11-26,baseline_no_overlay,-0.10125599713164102
2018-11-27,baseline_no_overlay,-0.10049895199623038
2018-11-28,baseline_no_overlay,-0.09787359216176961
2018-11-29,baseline_no_overlay,-0.09920601614319702
2018-11-30,baseline_no_overlay,-0.09931904367388178
2018-12-03,baseline_no_overlay,-0.09019245607453819
2018-12-04,baseline_no_overlay,-0.08722123417682459
2018-12-05,baseline_no_overlay,-0.08794856676289431
2018-12-06,baseline_no_overlay,-0.0889057214095339
2018-12-07,baseline_no_overlay,-0.08743168514257715
2018-12-10,baseline_no_overlay,-0.08849885988610329
2018-12-11,baseline_no_overlay,-0.08901253371521589
2018-12-12,baseline_no_overlay,-0.0864377743037662
2018-12-13,baseline_no_overlay,-0.08688719314999371
2018-12-14,baseline_no_overlay,-0.09009089294174732
2018-12-17,baseline_no_overlay,-0.09681821520623923
2018-12-18,baseline_no_overlay,-0.0991293422039935
2018-12-19,baseline_no_overlay,-0.10206357403885358
2018-12-20,baseline_no_overlay,-0.10242983706129238
2018-12-21,baseline_no_overlay,-0.10454894455524522
2018-12-24,baseline_no_overlay,-0.10584100708900068
2018-12-25,baseline_no_overlay,-0.10950692872129275
2018-12-26,baseline_no_overlay,-0.11179249794675827
2018-12-27,baseline_no_overlay,-0.10872890107870858
2018-12-28,baseline_no_overlay,-0.1117242627996966
2019-01-02,baseline_no_overlay,-0.11201043198638383
2019-01-03,baseline_no_overlay,-0.11702712117733083
2019-01-04,baseline_no_overlay,-0.11607147037353926
2019-01-07,baseline_no_overlay,-0.11276983581364941
2019-01-08,baseline_no_overlay,-0.11365081562977286
2019-01-09,baseline_no_overlay,-0.11011228266383088
2019-01-10,baseline_no_overlay,-0.10961286586287189
2019-01-11,baseline_no_overlay,-0.10787320385655408
2019-01-14,baseline_no_overlay,-0.10823299550651555
2019-01-15,baseline_no_overlay,-0.10524846101419993
2019-01-16,baseline_no_overlay,-0.10568308548521732
2019-01-17,baseline_no_overlay,-0.10829181221280826
2019-01-18,baseline_no_overlay,-0.10816258596011097
2019-01-21,baseline_no_overlay,-0.10497571648632009
2019-01-22,baseline_no_overlay,-0.1068606094695963
2019-01-23,baseline_no_overlay,-0.10629526444510495
2019-01-24,baseline_no_overlay,-0.10607221969836145
