horizon,fold,model_kind,feature_group,feature,importance
20,0,logistic,base_plus_downside_all,hmm_prob_state_3,0.07408333417527221
20,0,logistic,base_plus_downside_all,is_month_start,0.07301972721209196
20,0,logistic,base_plus_downside_all,macd_signal,0.07102541184961549
20,0,logistic,base_plus_downside_all,macd_hist,0.06486476594411957
20,0,logistic,base_plus_downside_all,downside_return_q01_20,0.06371633255983351
20,0,logistic,base_plus_downside_all,macd,0.05921296559138828
20,0,logistic,base_plus_downside_all,hl_range,0.05850876984274293
20,0,logistic,base_plus_downside_all,up_ratio_2,0.056925986521655876
20,0,logistic,base_plus_downside_all,ma_cross_5,0.0552468744893219
20,0,logistic,base_plus_downside_all,drawdown_from_high_2,0.05268286109533428
20,0,logistic,base_plus_downside_all,distance_from_low_40,0.04878813272109632
20,0,logistic,base_plus_downside_all,hmm_entropy,0.037857440709637445
20,0,logistic,base_plus_downside_all,volume_change,0.03677425148131327
20,0,logistic,base_plus_downside_all,distance_from_low_2,0.036137581592797334
20,0,logistic,base_plus_downside_all,close_position_hl,0.03128592986482609
20,0,logistic,base_plus_downside_all,lower_shadow,0.02919292563268658
20,0,logistic,base_plus_downside_all,downside_negative_volume_shock,0.027444161751991644
20,0,logistic,base_plus_downside_all,return_volume_interaction,0.026803979036897917
20,0,logistic,base_plus_downside_all,atr_14,0.0257048721662924
20,0,logistic,base_plus_downside_all,sma_distance_5,0.01965077003150928
20,0,logistic,base_plus_downside_all,ret_1,0.010910242977724116
20,0,logistic,base_plus_downside_all,downside_return_skew_20,0.009141778608349138
20,0,logistic,base_plus_downside_all,hmm_prob_state_1,0.008429340322835715
20,0,logistic,base_plus_downside_all,downside_cumulative_negative_return_5,0.007163597484050204
20,0,logistic,base_plus_downside_all,is_month_end,0.007061557064742547
20,0,logistic,base_plus_downside_all,downside_return_q05_60,0.0037559884530632805
20,0,logistic,base_plus_downside_all,sma_distance_20,0.0029184117762065752
20,0,logistic,base_plus_downside_all,egarch_volatility_percentile,0.0008922506688441818
20,0,logistic,base_plus_downside_all,day_of_week,0.0005906603109301315
