date,strategy,equity
2020-06-19,baseline_no_overlay,1.0925931891601723
2020-06-22,baseline_no_overlay,1.0941527541416076
2020-06-23,baseline_no_overlay,1.092363929224146
2020-06-24,baseline_no_overlay,1.087520230748846
2020-06-25,baseline_no_overlay,1.084718665161318
2020-06-26,baseline_no_overlay,1.0833302681593782
2020-06-29,baseline_no_overlay,1.0715006008144312
2020-06-30,baseline_no_overlay,1.0693449986135022
2020-07-01,baseline_no_overlay,1.0786287354666981
2020-07-02,baseline_no_overlay,1.0779561701591518
2020-07-03,baseline_no_overlay,1.0806818596578491
2020-07-06,baseline_no_overlay,1.0878752455957765
2020-07-07,baseline_no_overlay,1.08913382793388
2020-07-08,baseline_no_overlay,1.0897282073203545
2020-07-09,baseline_no_overlay,1.0962456278886297
2020-07-10,baseline_no_overlay,1.0932845772247757
2020-07-13,baseline_no_overlay,1.091947124184372
2020-07-14,baseline_no_overlay,1.0916206019089807
2020-07-15,baseline_no_overlay,1.0925177152446048
2020-07-16,baseline_no_overlay,1.0958841098033851
2020-07-17,baseline_no_overlay,1.0933894805457194
2020-07-20,baseline_no_overlay,1.0883874443600186
2020-07-21,baseline_no_overlay,1.088503677423936
2020-07-22,baseline_no_overlay,1.0853501890557333
2020-07-23,baseline_no_overlay,1.0860778572225598
2020-07-24,baseline_no_overlay,1.0730789148439666
2020-07-27,baseline_no_overlay,1.0519177232790249
2020-07-28,baseline_no_overlay,1.0660041219721585
2020-07-29,baseline_no_overlay,1.0540669422732882
2020-07-30,baseline_no_overlay,1.0593576318332412
2020-07-31,baseline_no_overlay,1.057929409245307
2020-08-03,baseline_no_overlay,1.0662118540432806
2020-08-04,baseline_no_overlay,1.073299244367153
2020-08-05,baseline_no_overlay,1.0790397437589014
2020-08-06,baseline_no_overlay,1.0803062934752343
2020-08-07,baseline_no_overlay,1.0811080567488713
2020-08-10,baseline_no_overlay,1.0820895743530374
2020-08-11,baseline_no_overlay,1.082012268052098
2020-08-12,baseline_no_overlay,1.0841022857357498
2020-08-13,baseline_no_overlay,1.0884192720746926
2020-08-14,baseline_no_overlay,1.0860163725776426
2020-08-17,baseline_no_overlay,1.085681761817286
2020-08-18,baseline_no_overlay,1.0837251737555784
2020-08-19,baseline_no_overlay,1.086159362213718
2020-08-20,baseline_no_overlay,1.0845673662461306
2020-08-21,baseline_no_overlay,1.0878750965916086
2020-08-24,baseline_no_overlay,1.0952434092601366
2020-08-25,baseline_no_overlay,1.0982801087299177
2020-08-26,baseline_no_overlay,1.0979119270883146
2020-08-27,baseline_no_overlay,1.098553526827004
2020-08-28,baseline_no_overlay,1.1008443133702488
2020-08-31,baseline_no_overlay,1.102282196853393
2020-09-01,baseline_no_overlay,1.1077133628594198
2020-09-03,baseline_no_overlay,1.114477972027653
2020-09-04,baseline_no_overlay,1.113146105182731
2020-09-07,baseline_no_overlay,1.1062165048739194
2020-09-08,baseline_no_overlay,1.1071089840814676
2020-09-09,baseline_no_overlay,1.106687683958702
2020-09-10,baseline_no_overlay,1.1064306919446807
2020-09-11,baseline_no_overlay,1.1064903826760764
2020-09-14,baseline_no_overlay,1.1091457791231374
2020-09-15,baseline_no_overlay,1.109968992081219
2020-09-16,baseline_no_overlay,1.1105547654344097
2020-09-17,baseline_no_overlay,1.1088220093729886
2020-09-18,baseline_no_overlay,1.1121160960049143
2020-09-21,baseline_no_overlay,1.1155720068724788
2020-09-22,baseline_no_overlay,1.1146535369693364
2020-09-23,baseline_no_overlay,1.1177152276945692
2020-09-24,baseline_no_overlay,1.115760028055711
2020-09-25,baseline_no_overlay,1.1155942763477489
2020-09-28,baseline_no_overlay,1.1176155001698593
2020-09-29,baseline_no_overlay,1.113363762845647
2020-09-30,baseline_no_overlay,1.1139269148279516
2020-10-01,baseline_no_overlay,1.1182570363823052
2020-10-02,baseline_no_overlay,1.1159360765294637
2020-10-05,baseline_no_overlay,1.1182613822651721
2020-10-06,baseline_no_overlay,1.1187520382987963
2020-10-07,baseline_no_overlay,1.12080426401789
2020-10-08,baseline_no_overlay,1.1203332870769118
2020-10-09,baseline_no_overlay,1.1228857236668897
2020-10-12,baseline_no_overlay,1.1238204048500944
2020-10-13,baseline_no_overlay,1.125941896816289
2020-10-14,baseline_no_overlay,1.131351050061455
2020-10-15,baseline_no_overlay,1.132704965120281
