date,horizon,fold,evaluation_scope,actual_class,predicted_class,raw_prob_bull,prob_bull,raw_prob_sideway,prob_sideway,raw_prob_bear,prob_bear,raw_prob_stress,prob_stress,raw_baseline_risk_off_probability,baseline_risk_off_probability,raw_candidate_risk_off_probability,candidate_risk_off_probability,baseline_risk_off_threshold,candidate_risk_off_threshold,baseline_risk_off_alert,candidate_risk_off_alert,baseline_temperature,candidate_temperature,actual_risk_off,forward_return,future_mae
2022-12-27,40,-1,post_selection_legacy_audit,Sideway,Sideway,0.18498294248471223,0.21485466418638918,0.41914686328238815,0.34762121918719374,0.2793216678294851,0.2737934081731278,0.11654852640341451,0.16373070845328924,0.3958701942328996,0.43752411662641705,0.23378730417795396,0.40235006161615117,0.39,0.29,1,1,1.6999999999999997,3.0,0,0.03518983026126619,0.002505394866101158
2022-12-28,40,-1,post_selection_legacy_audit,Sideway,Sideway,0.19684940460003503,0.2241649512971271,0.3993494055886216,0.33984801082249677,0.3148367402750036,0.29548746658390806,0.08896444953633988,0.1404995712964682,0.40380118981134344,0.4359870378803763,0.22059943372491425,0.3963431510481488,0.39,0.29,1,1,1.6999999999999997,3.0,0,0.02138134411830298,-0.008473663358523658
2022-12-29,40,-1,post_selection_legacy_audit,Sideway,Bear,0.10540036363381361,0.15830060032632637,0.3380383951999321,0.31419734870387095,0.4587702728299551,0.3760275929117778,0.09779096833629923,0.1514744580580249,0.5565612411662543,0.5275020509698027,0.20855685105968094,0.3906576183214824,0.39,0.29,1,1,1.6999999999999997,3.0,0,0.0152210838105486,-0.002182129234545081
2022-12-30,40,-1,post_selection_legacy_audit,Sideway,Sideway,0.1059384178121785,0.1559442679555994,0.3743865367438336,0.3277021292638082,0.3707869159015847,0.32584505351774246,0.1488881295424031,0.19050854926284988,0.5196750454439878,0.5163536027805924,0.20855685105968094,0.3906576183214824,0.39,0.29,1,1,1.6999999999999997,3.0,0,0.019752199236906628,0.01396238306995765
2023-01-03,40,-1,post_selection_legacy_audit,Sideway,Sideway,0.19382409451831803,0.22311788523492704,0.4639746671697418,0.3728433889010836,0.24747380710698205,0.2576076657759306,0.0947274312049581,0.14643106008805876,0.34220123831194016,0.40403872586398937,0.11644571147345593,0.3372643408356025,0.39,0.29,1,1,1.6999999999999997,3.0,0,-0.005822069151495911,-0.021936332240040164
2023-01-04,40,-1,post_selection_legacy_audit,Sideway,Sideway,0.18319587827387604,0.21744990169034473,0.49265194534981704,0.38911637912955327,0.23714307901445913,0.2531030085400565,0.08700909736184782,0.14033071064004554,0.32415217637630694,0.39343371918010206,0.0796572422859956,0.3066833438135492,0.39,0.29,1,1,1.6999999999999997,3.0,0,0.0027009889817703105,-0.024280550512465842
2023-01-05,40,-1,post_selection_legacy_audit,Sideway,Sideway,0.20307406858504204,0.2291270973548149,0.4435001487157764,0.362768010022765,0.266041647017587,0.26857996014283014,0.08738413568159444,0.13952493247959002,0.3534257826991814,0.40810489262242017,0.08633602128613178,0.3129410376883684,0.39,0.29,1,1,1.6999999999999997,3.0,0,0.00012311946865834988,-0.03329034901751245
2023-01-06,40,-1,post_selection_legacy_audit,Sideway,Sideway,0.18395519023618084,0.21411953949641238,0.3700424466772903,0.32300477795335675,0.3377023399376038,0.3060875932802377,0.108300023148925,0.1567880892699931,0.4460023630865288,0.4628756825502308,0.07226085822478247,0.29926031335245434,0.39,0.29,1,1,1.6999999999999997,3.0,0,0.0014825799602226743,-0.029133285999540164
2023-01-09,40,-1,post_selection_legacy_audit,Sideway,Sideway,0.20374026680069016,0.22562873813799258,0.3918104646152518,0.33147649979843213,0.2703448309395311,0.2664734494012408,0.13410443764452676,0.17642131266233446,0.40444926858405783,0.44289476206357525,0.07924777751175087,0.3062866938584595,0.39,0.29,1,1,1.6999999999999997,3.0,0,-0.0013383896711228504,-0.03176430406796295
2023-01-10,40,-1,post_selection_legacy_audit,Sideway,Sideway,0.19109683217618148,0.21808770326974566,0.41856448289647114,0.34588404042294285,0.2573371681692428,0.259812486856187,0.13300151675810473,0.17621576945112433,0.3903386849273475,0.43602825630731135,0.08217723385342329,0.3090903711856668,0.39,0.29,1,1,1.6999999999999997,3.0,0,-0.012629856248909827,-0.030948194398266588
