scope,bucket,horizon,fold,model,recall,precision,support,mean_future_mae
severity_bucket,3,60,0,multiclass_probability_sum,0.8846153846153846,,26,-0.17149671496922544
calendar_year,2015,60,0,candidate_risk_off,1.0,0.39737991266375544,91,
calendar_year,2016,60,0,candidate_risk_off,1.0,0.043824701195219126,11,
calendar_year,2017,60,0,candidate_risk_off,0.0,0.0,0,
severity_bucket,0,60,0,candidate_risk_off,1.0,,26,-0.06871942076549549
severity_bucket,1,60,0,candidate_risk_off,1.0,,25,-0.11577941928681285
severity_bucket,2,60,0,candidate_risk_off,1.0,,25,-0.14345817826898924
severity_bucket,3,60,0,candidate_risk_off,1.0,,26,-0.17149671496922544
calendar_year,2017,60,1,multiclass_probability_sum,0.0,0.0,0,
calendar_year,2018,60,1,multiclass_probability_sum,0.963302752293578,0.4375,109,
calendar_year,2019,60,1,multiclass_probability_sum,0.0,0.0,0,
severity_bucket,0,60,1,multiclass_probability_sum,1.0,,28,-0.09057174103900546
severity_bucket,1,60,1,multiclass_probability_sum,1.0,,27,-0.12338036480204496
severity_bucket,2,60,1,multiclass_probability_sum,0.8518518518518519,,27,-0.17243773904290638
severity_bucket,3,60,1,multiclass_probability_sum,1.0,,27,-0.2408039966927202
calendar_year,2017,60,1,candidate_risk_off,0.0,0.0,0,
calendar_year,2018,60,1,candidate_risk_off,0.23853211009174313,0.5652173913043478,109,
calendar_year,2019,60,1,candidate_risk_off,0.0,0.0,0,
severity_bucket,0,60,1,candidate_risk_off,0.17857142857142858,,28,-0.09057174103900546
severity_bucket,1,60,1,candidate_risk_off,0.037037037037037035,,27,-0.12338036480204496
severity_bucket,2,60,1,candidate_risk_off,0.0,,27,-0.17243773904290638
severity_bucket,3,60,1,candidate_risk_off,0.7407407407407407,,27,-0.2408039966927202
calendar_year,2019,60,2,multiclass_probability_sum,1.0,0.3512396694214876,85,
calendar_year,2020,60,2,multiclass_probability_sum,0.8666666666666667,0.15918367346938775,45,
severity_bucket,0,60,2,multiclass_probability_sum,1.0,,33,-0.04214877204679211
severity_bucket,1,60,2,multiclass_probability_sum,1.0,,32,-0.07987537737745198
severity_bucket,2,60,2,multiclass_probability_sum,0.96875,,32,-0.26792804044862734
severity_bucket,3,60,2,multiclass_probability_sum,0.8484848484848485,,33,-0.3733583407708053
calendar_year,2019,60,2,candidate_risk_off,1.0,0.3512396694214876,85,
calendar_year,2020,60,2,candidate_risk_off,0.7333333333333333,0.13807531380753138,45,
severity_bucket,0,60,2,candidate_risk_off,1.0,,33,-0.04214877204679211
severity_bucket,1,60,2,candidate_risk_off,1.0,,32,-0.07987537737745198
severity_bucket,2,60,2,candidate_risk_off,0.90625,,32,-0.26792804044862734
severity_bucket,3,60,2,candidate_risk_off,0.7272727272727273,,33,-0.3733583407708053
