date,horizon,fold,model,actual_risk_off,probability,threshold,alert,forward_return,future_mae
2020-02-26,20,2,candidate_risk_off,1,0.4402810959624631,0.57,0,-0.26085307946127,-0.30686478188842115
2020-02-24,20,2,candidate_risk_off,1,0.4114941440157574,0.57,0,-0.30392384099123926,-0.30392384099123926
2020-03-05,20,2,candidate_risk_off,1,0.4883916126933752,0.57,0,-0.24128520194357536,-0.30389151670957726
2020-03-06,20,2,candidate_risk_off,1,0.4805138765711989,0.57,0,-0.19058951112099445,-0.3017959843556858
2020-03-03,20,2,candidate_risk_off,1,0.471754715105346,0.57,0,-0.29584078135592223,-0.3008644728268095
2020-03-04,20,2,candidate_risk_off,1,0.48456374015108866,0.57,0,-0.26808237062719614,-0.2994711985196914
2020-03-02,20,2,candidate_risk_off,1,0.46490462519938247,0.57,0,-0.28928514163463015,-0.29390122132744195
2020-02-28,20,2,candidate_risk_off,1,0.4615225887067539,0.57,0,-0.23697158879310576,-0.2913653039253633
2020-02-21,20,2,candidate_risk_off,1,0.5516713245473291,0.57,0,-0.27361704319779195,-0.27361704319779195
2020-02-20,20,2,candidate_risk_off,1,0.513353834360669,0.57,0,-0.2564211653722282,-0.2564211653722282
2020-03-10,20,2,candidate_risk_off,1,0.4574395747091062,0.57,0,-0.11299154811428287,-0.23937911531610864
2020-03-09,20,2,candidate_risk_off,1,0.4896843188353867,0.57,0,-0.11236827339020633,-0.2369762306997983
2020-02-17,20,2,candidate_risk_off,1,0.5035970840424353,0.57,0,-0.22308471504216587,-0.22308471504216587
2020-02-19,20,2,candidate_risk_off,1,0.5347733497519788,0.57,0,-0.21690203395133387,-0.21941971258999862
2020-02-18,20,2,candidate_risk_off,1,0.5399020434839237,0.57,0,-0.2185256483624878,-0.2185256483624878
2020-03-11,20,2,candidate_risk_off,1,0.4314616883102624,0.57,0,-0.064946977420964,-0.20765737860243288
2020-02-14,20,2,candidate_risk_off,1,0.5209686842492657,0.57,0,-0.20750562299895964,-0.20750562299895964
2020-02-13,20,2,candidate_risk_off,1,0.4941034893559042,0.57,0,-0.1985897656160261,-0.1985897656160261
2020-03-12,20,2,candidate_risk_off,1,0.488447301249657,0.57,0,-0.014811787365578347,-0.15437386581903836
2021-01-15,20,2,candidate_risk_off,1,0.5267434575153653,0.57,0,-0.01748576882181387,-0.15381857398011975
2021-01-12,20,2,candidate_risk_off,1,0.5141087581632859,0.57,0,-0.06707581771522907,-0.1522095092368541
2021-01-18,20,2,candidate_risk_off,1,0.5357918958362609,0.57,0,-0.014280042235931732,-0.15192430065517565
2021-01-14,20,2,candidate_risk_off,1,0.5188884246435889,0.57,0,-0.011025694094087617,-0.14810811170380284
2021-01-13,20,2,candidate_risk_off,1,0.5339919347759464,0.57,0,-0.02585301748292398,-0.14697052705227343
2021-01-11,20,2,candidate_risk_off,1,0.5123101669179647,0.57,0,-0.08974878407969741,-0.14599201212354693
2020-02-12,20,2,candidate_risk_off,1,0.49279946021190474,0.57,0,-0.1447092124293791,-0.1447092124293791
2020-03-13,20,2,candidate_risk_off,1,0.47011260750168227,0.57,0,0.005250180628185085,-0.14461565170688745
2021-01-08,20,2,candidate_risk_off,1,0.5018581290181661,0.57,0,-0.0355480643807609,-0.13136950706877412
2021-01-22,20,2,candidate_risk_off,1,0.39777744981675733,0.57,0,0.0014473827599051786,-0.1305898868157041
2021-01-25,20,2,candidate_risk_off,1,0.3941919071052151,0.57,0,0.017107660602391814,-0.129964037504929
2021-01-21,20,2,candidate_risk_off,1,0.3818889299149295,0.57,0,0.001047372221911758,-0.12838481425739015
2020-03-16,20,2,candidate_risk_off,1,0.44937312708699634,0.57,0,0.025805414060385345,-0.12617364629826378
2020-03-18,20,2,candidate_risk_off,1,0.4400514021044086,0.57,0,0.043242623943414084,-0.12590618079971838
2020-03-17,20,2,candidate_risk_off,1,0.4534068383726922,0.57,0,0.04129280002997624,-0.12338850216105357
2021-01-07,20,2,candidate_risk_off,1,0.5072935722172219,0.57,0,-0.03905851133062791,-0.12173162472226316
2020-02-11,20,2,candidate_risk_off,1,0.45457017898513,0.57,0,-0.10977226211459891,-0.11217514673090936
2020-07-16,20,2,candidate_risk_off,1,0.5583371740017287,0.57,0,-0.025153184177824535,-0.110412876090767
2021-01-06,20,2,candidate_risk_off,1,0.5583412299487852,0.57,0,-0.028318592272332636,-0.1101821638204146
2020-07-09,20,2,candidate_risk_off,1,0.5255514192683931,0.57,0,-0.04244155751622403,-0.10999081242133117
2020-02-10,20,2,candidate_risk_off,1,0.46330424030578515,0.57,0,-0.10795084539177008,-0.10795084539177008
2020-07-10,20,2,candidate_risk_off,1,0.5444688783357138,0.57,0,-0.03474457163754822,-0.10398279512732322
2021-01-26,20,2,candidate_risk_off,1,0.39195540319551975,0.57,0,0.04348155372371964,-0.10396101737228385
2021-01-20,20,2,candidate_risk_off,1,0.46261998374646174,0.57,0,0.023800591389375528,-0.10269274170465785
2020-01-22,20,2,candidate_risk_off,1,0.43901205384369185,0.57,0,-0.10127167395974397,-0.10127167395974397
2020-07-13,20,2,candidate_risk_off,1,0.5633379338503088,0.57,0,-0.02981668612154714,-0.10112060906252483
2021-01-05,20,2,candidate_risk_off,1,0.5616912554260814,0.57,0,-0.05165816417143326,-0.10081379636020453
2020-07-14,20,2,candidate_risk_off,1,0.5557546497860093,0.57,0,-0.029256582072774193,-0.10041817989550032
2021-01-19,20,2,candidate_risk_off,1,0.4951489696087658,0.57,0,0.04041023867291708,-0.09944426598334809
2020-07-07,20,2,candidate_risk_off,1,0.5345283980964273,0.57,0,-0.042407551268993024,-0.0950009922413921
2020-07-06,20,2,candidate_risk_off,1,0.5255990923771119,0.57,0,-0.055521744444164155,-0.09238006274700784
2020-01-21,20,2,candidate_risk_off,1,0.45467573361466074,0.57,0,-0.08094964138289742,-0.08793253251012165
2020-01-20,20,2,candidate_risk_off,1,0.4429065245268349,0.57,0,-0.08005462917217106,-0.08005462917217106
2020-07-03,20,2,candidate_risk_off,1,0.5265871852327265,0.57,0,-0.05982342447376609,-0.07652036949636067
2019-11-05,20,2,candidate_risk_off,1,0.551925589037511,0.57,0,-0.07173777313257965,-0.07173777313257965
2020-07-01,20,2,candidate_risk_off,1,0.48743270163051083,0.57,0,-0.06445237484451533,-0.07164779170507486
2019-11-07,20,2,candidate_risk_off,1,0.5416010289851296,0.57,0,-0.06116735571280441,-0.07143509343861161
2020-07-02,20,2,candidate_risk_off,1,0.5199737094069321,0.57,0,-0.0502079878193247,-0.07033096400139868
2019-11-08,20,2,candidate_risk_off,1,0.530026172736534,0.57,0,-0.05936134903933681,-0.06993009931133606
2020-01-30,20,2,candidate_risk_off,1,0.4419473384732112,0.57,0,-0.06583576270024019,-0.06858875845930046
2019-11-12,20,2,candidate_risk_off,1,0.5636632236330678,0.57,0,-0.05867357396587948,-0.06585330100311007
2020-02-07,20,2,candidate_risk_off,1,0.4446412352184677,0.57,0,-0.05383929673474806,-0.06426997716507049
2019-11-04,20,2,candidate_risk_off,1,0.5681258174275939,0.57,0,-0.06372314987852101,-0.06372314987852101
2020-02-06,20,2,candidate_risk_off,1,0.4499888590725905,0.57,0,-0.04939181122966478,-0.06191802401387862
2019-11-14,20,2,candidate_risk_off,1,0.5652714502512806,0.57,0,-0.04457255691277613,-0.0599142399980095
2020-01-31,20,2,candidate_risk_off,1,0.459588814953632,0.57,0,-0.059870198045988476,-0.059870198045988476
2020-06-01,20,2,candidate_risk_off,1,0.5115240156424559,0.57,0,-0.05775508155894278,-0.05775508155894278
2019-11-15,20,2,candidate_risk_off,1,0.5567647673873368,0.57,0,-0.044385160106518,-0.05766930375778117
2020-01-17,20,2,candidate_risk_off,1,0.45729355121169074,0.57,0,-0.04798912445981898,-0.05571374597932573
2020-06-29,20,2,candidate_risk_off,1,0.5542920081412823,0.57,0,-0.054754064168736356,-0.054754064168736356
2020-02-04,20,2,candidate_risk_off,1,0.4544935280182742,0.57,0,-0.04229899127534261,-0.05179816017678885
2020-01-16,20,2,candidate_risk_off,1,0.4637470287946464,0.57,0,-0.03784099600407702,-0.050952490459659744
2020-02-03,20,2,candidate_risk_off,1,0.4378938631830546,0.57,0,-0.04823921376607366,-0.05077513116815243
2019-11-18,20,2,candidate_risk_off,1,0.5671647499752244,0.57,0,-0.042197689834292985,-0.05059504452161208
2020-02-05,20,2,candidate_risk_off,1,0.4368175755031073,0.57,0,-0.04026369079528272,-0.04836958538961088
2019-11-01,20,2,candidate_risk_off,1,0.5187441733192854,0.57,0,-0.0451560347740516,-0.04552695083793924
2020-01-10,20,2,candidate_risk_off,1,0.5541143552164406,0.57,0,-0.03262635988612694,-0.04501274527699979
2020-01-15,20,2,candidate_risk_off,1,0.4740388900470696,0.57,0,-0.040927075350765944,-0.04400040078684389
2020-01-14,20,2,candidate_risk_off,1,0.5386880351019463,0.57,0,-0.04124219654664014,-0.043421457755207345
2020-01-02,20,2,candidate_risk_off,1,0.4812587188716223,0.57,0,-0.029531699254017642,-0.0430801378782855
2020-01-13,20,2,candidate_risk_off,1,0.5480545910532106,0.57,0,-0.032697679300589505,-0.042221151326044946
2020-01-03,20,2,candidate_risk_off,1,0.4982503745192414,0.57,0,-0.025595739062891847,-0.04149613083835147
2019-12-30,20,2,candidate_risk_off,1,0.5341890662451495,0.57,0,-0.03795357645339801,-0.03897660546203451
2019-12-27,20,2,candidate_risk_off,1,0.511718233232647,0.57,0,-0.03740028315112539,-0.03740028315112539
2019-12-31,20,2,candidate_risk_off,1,0.49958008650116403,0.57,0,-0.03718696539080122,-0.03718696539080122
2020-01-09,20,2,candidate_risk_off,1,0.5673142296160992,0.57,0,-0.023083742437944792,-0.03631248455803503
2019-03-13,20,2,candidate_risk_off,1,0.5690080327651187,0.57,0,-0.023651043039169678,-0.03607114428536898
2020-01-07,20,2,candidate_risk_off,1,0.5389493182580131,0.57,0,-0.025572410896054644,-0.03498889901178817
2019-07-29,20,2,candidate_risk_off,1,0.5661768613201712,0.57,0,-0.015206116848071697,-0.03396927969105533
2019-08-01,20,2,candidate_risk_off,1,0.5463331039958873,0.57,0,-0.019029106870918973,-0.03341799242135085
2020-01-06,20,2,candidate_risk_off,1,0.5426426632911698,0.57,0,-0.026568999174803952,-0.03176118595139813
2019-10-31,20,2,candidate_risk_off,1,0.5330913030474445,0.57,0,-0.028876529686085554,-0.028876529686085554
2019-11-25,20,2,candidate_risk_off,1,0.5673133367307305,0.57,0,-0.01748177056395988,-0.026170377271056977
2019-10-30,20,2,candidate_risk_off,1,0.52894554271465,0.57,0,-0.022961404106937134,-0.024823754480463905
2019-12-26,20,2,candidate_risk_off,1,0.5597274835589443,0.57,0,-0.02318580443682919,-0.02318580443682919
2019-10-28,20,2,candidate_risk_off,1,0.5159458780567805,0.57,0,-0.02040794051907282,-0.02040794051907282
2019-10-29,20,2,candidate_risk_off,1,0.5517849852307048,0.57,0,-0.019345041743642023,-0.019795598290989695
2019-10-25,20,2,candidate_risk_off,1,0.501105754112923,0.57,0,-0.019034687191467826,-0.019034687191467826
2015-02-27,40,0,multiclass_probability_sum,1,0.39919021358823875,0.4,0,-0.04628137429842959,-0.09492042840510204
2015-11-05,40,0,multiclass_probability_sum,1,0.39164327058191695,0.4,0,-0.06056061820782851,-0.09212270368139987
2015-11-13,40,0,multiclass_probability_sum,1,0.3858423925759561,0.4,0,-0.09141279976215394,-0.09141279976215394
2015-11-03,40,0,multiclass_probability_sum,1,0.33937155391552415,0.4,0,-0.05964730777934437,-0.08646610976918831
2015-11-04,40,0,multiclass_probability_sum,1,0.39556732567588776,0.4,0,-0.05236270252037744,-0.08464987607212261
2015-10-30,40,0,multiclass_probability_sum,1,0.38482351932177955,0.4,0,-0.06759789657770728,-0.07934595631699563
2015-11-12,40,0,multiclass_probability_sum,1,0.37799385181239564,0.4,0,-0.0781606110210748,-0.0781606110210748
2015-10-29,40,0,multiclass_probability_sum,1,0.37307156266137265,0.4,0,-0.06666459545116724,-0.07576677768554596
2016-10-28,40,0,multiclass_probability_sum,1,0.3926783694876873,0.4,0,-0.02655693639073375,-0.046134112335515405
2015-11-05,40,0,candidate_risk_off,1,0.2503499703826167,0.29,0,-0.06056061820782851,-0.09212270368139987
2015-11-13,40,0,candidate_risk_off,1,0.1376687279147329,0.29,0,-0.09141279976215394,-0.09141279976215394
2015-11-16,40,0,candidate_risk_off,1,0.10782270143974411,0.29,0,-0.07664789767546128,-0.08803707552868924
2015-11-06,40,0,candidate_risk_off,1,0.2685054670478205,0.29,0,-0.06397691781065701,-0.08752814063522549
2015-11-03,40,0,candidate_risk_off,1,0.2565836935640201,0.29,0,-0.05964730777934437,-0.08646610976918831
